UT,Label,Period,tcs,mcs,mncs,mnjs,tncs,pp_top_perc,pp_uncited,prop_self_cits,int_cov
000208031500006,WOS:000208031500006,2000-2018,26,26,39%,81%,39%,0%,0%,7%,83%
000208648200012,WOS:000208648200012,2000-2018,0,0,0%,76%,0%,0%,100%,NULL,95%
000208653500006,WOS:000208653500006,2000-2018,34,34,189%,143%,189%,0%,0%,6%,77%
000208653500008,WOS:000208653500008,2000-2018,29,29,161%,143%,161%,0%,0%,15%,95%
000208653500009,WOS:000208653500009,2000-2018,13,13,137%,137%,137%,0%,0%,19%,83%
000208653600017,WOS:000208653600017,2000-2018,9,9,20%,84%,20%,0%,0%,0%,96%
000208768700003,WOS:000208768700003,2000-2018,39,39,114%,74%,114%,0%,0%,22%,86%
000208809000010,WOS:000208809000010,2000-2018,25,25,89%,89%,89%,0%,0%,11%,93%
000208863700015,WOS:000208863700015,2000-2018,29,29,94%,72%,94%,0%,0%,28%,94%
000208863700118,WOS:000208863700118,2000-2018,39,39,168%,102%,168%,0%,0%,22%,93%
000208863800052,WOS:000208863800052,2000-2018,42,42,268%,226%,268%,100%,0%,7%,98%
000208863900070,WOS:000208863900070,2000-2018,14,14,56%,152%,56%,0%,0%,13%,88%
000208863900168,WOS:000208863900168,2000-2018,30,30,233%,210%,233%,80%,0%,21%,89%
000208863900234,WOS:000208863900234,2000-2018,32,32,122%,79%,122%,0%,0%,24%,89%
000208864000263,WOS:000208864000263,2000-2018,18,18,69%,79%,69%,0%,0%,0%,79%
000208868400007,WOS:000208868400007,2000-2018,20,20,113%,82%,113%,0%,0%,20%,86%
000209041700009,WOS:000209041700009,2000-2018,0,0,0%,98%,0%,0%,100%,NULL,47%
000209165300008,WOS:000209165300008,2000-2018,8,8,23%,52%,23%,0%,0%,11%,95%
000209165300039,WOS:000209165300039,2000-2018,4,4,24%,24%,24%,0%,0%,43%,100%
000209174200009,WOS:000209174200009,2000-2018,21,21,76%,85%,76%,0%,0%,5%,88%
000209180500001,WOS:000209180500001,2000-2018,0,0,0%,0%,0%,0%,100%,100%,81%
000209200600045,WOS:000209200600045,2000-2018,63,63,137%,69%,137%,0%,0%,6%,97%
000209200600051,WOS:000209200600051,2000-2018,21,21,46%,69%,46%,0%,0%,40%,91%
000209215000002,WOS:000209215000002,2000-2018,2,2,9%,9%,9%,0%,0%,67%,77%
000209222100030,WOS:000209222100030,2000-2018,3,3,9%,9%,9%,0%,0%,25%,79%
000209276800003,WOS:000209276800003,2000-2018,9,9,22%,85%,22%,0%,0%,18%,85%
000209276800037,WOS:000209276800037,2000-2018,18,18,118%,118%,118%,0%,0%,14%,96%
000209276800075,WOS:000209276800075,2000-2018,11,11,27%,85%,27%,0%,0%,8%,85%
000209276900024,WOS:000209276900024,2000-2018,8,8,57%,111%,57%,0%,0%,58%,89%
000209276900035,WOS:000209276900035,2000-2018,18,18,84%,103%,84%,0%,0%,10%,96%
000209276900037,WOS:000209276900037,2000-2018,19,19,89%,103%,89%,0%,0%,27%,90%
000209276900052,WOS:000209276900052,2000-2018,31,31,145%,103%,145%,0%,0%,18%,93%
000209291200004,WOS:000209291200004,2000-2018,28,28,196%,196%,196%,0%,0%,0%,84%
000209337200004,WOS:000209337200004,2000-2018,8,8,41%,41%,41%,0%,0%,11%,93%
000209629000001,WOS:000209629000001,2000-2018,6,6,15%,29%,15%,0%,0%,60%,100%
000209684400007,WOS:000209684400007,2000-2018,14,14,115%,116%,115%,0%,0%,7%,94%
000209702500005,WOS:000209702500005,2000-2018,26,26,122%,122%,122%,0%,0%,26%,78%
000209843500023,WOS:000209843500023,2000-2018,32,32,103%,179%,103%,0%,0%,11%,68%
000209843500045,WOS:000209843500045,2000-2018,79,79,255%,179%,255%,100%,0%,38%,66%
000214536700002,WOS:000214536700002,2000-2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
000215857200001,WOS:000215857200001,2000-2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
000215857200002,WOS:000215857200002,2000-2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
000215857200004,WOS:000215857200004,2000-2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
000215857200006,WOS:000215857200006,2000-2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
000215857200007,WOS:000215857200007,2000-2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
000215857200008,WOS:000215857200008,2000-2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
000218411900004,WOS:000218411900004,2000-2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
000218581400011,WOS:000218581400011,2000-2018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
000261727800001,WOS:000261727800001,2000-2018,22,22,89%,134%,89%,0%,0%,8%,100%
000261790900010,WOS:000261790900010,2000-2018,9,9,14%,28%,14%,0%,0%,36%,97%
000261862600022,WOS:000261862600022,2000-2018,56,56,164%,149%,164%,0%,0%,14%,87%
000261961700017,WOS:000261961700017,2000-2018,19,19,60%,73%,60%,0%,0%,24%,97%
000262108500010,WOS:000262108500010,2000-2018,0,0,0%,3%,0%,0%,100%,100%,87%
000262173300016,WOS:000262173300016,2000-2018,160,160,564%,371%,564%,100%,0%,19%,96%
000262208800008,WOS:000262208800008,2000-2018,1,1,3%,3%,3%,0%,0%,75%,83%
000262232000006,WOS:000262232000006,2000-2018,91,91,385%,385%,385%,100%,0%,20%,81%
000262301500012,WOS:000262301500012,2000-2018,388,388,366%,100%,366%,100%,0%,5%,88%
000262301500053,WOS:000262301500053,2000-2018,74,74,159%,137%,159%,0%,0%,11%,87%
000262301500057,WOS:000262301500057,2000-2018,66,66,99%,131%,99%,0%,0%,14%,96%
000262301500058,WOS:000262301500058,2000-2018,104,104,472%,472%,472%,100%,0%,11%,98%
000262397000027,WOS:000262397000027,2000-2018,14,14,30%,60%,30%,0%,0%,36%,96%
000262487700007,WOS:000262487700007,2000-2018,44,44,119%,56%,119%,0%,0%,27%,93%
000262518800003,WOS:000262518800003,2000-2018,118,118,255%,255%,255%,0%,0%,23%,96%
000262614100033,WOS:000262614100033,2000-2018,18,18,73%,73%,73%,0%,0%,10%,87%
000262614400014,WOS:000262614400014,2000-2018,243,243,366%,257%,366%,100%,0%,3%,98%
000262647600003,WOS:000262647600003,2000-2018,15,15,32%,32%,32%,0%,0%,0%,81%
000262768200005,WOS:000262768200005,2000-2018,29,29,63%,63%,63%,0%,0%,6%,88%
000262796400002,WOS:000262796400002,2000-2018,8,8,33%,67%,33%,0%,0%,20%,97%
000262796400003,WOS:000262796400003,2000-2018,11,11,49%,55%,49%,0%,0%,45%,95%
000262796400004,WOS:000262796400004,2000-2018,28,28,93%,93%,93%,0%,0%,18%,100%
000262796400005,WOS:000262796400005,2000-2018,6,6,14%,34%,14%,0%,0%,50%,94%
000262796400006,WOS:000262796400006,2000-2018,27,27,77%,24%,77%,0%,0%,4%,95%
000262796400007,WOS:000262796400007,2000-2018,7,7,20%,24%,20%,0%,0%,30%,97%
000262796400008,WOS:000262796400008,2000-2018,6,6,16%,45%,16%,0%,0%,33%,97%
000262796400009,WOS:000262796400009,2000-2018,6,6,17%,24%,17%,0%,0%,33%,85%
000262796400010,WOS:000262796400010,2000-2018,0,0,0%,0%,0%,0%,100%,100%,87%
000262796400011,WOS:000262796400011,2000-2018,21,21,49%,34%,49%,0%,0%,19%,93%
000262796400012,WOS:000262796400012,2000-2018,52,52,121%,34%,121%,0%,0%,21%,93%
000262796400013,WOS:000262796400013,2000-2018,17,17,51%,67%,51%,0%,0%,39%,91%
000262796400014,WOS:000262796400014,2000-2018,2,2,5%,45%,5%,0%,0%,90%,83%
000262796400015,WOS:000262796400015,2000-2018,9,9,27%,54%,27%,0%,0%,10%,92%
000262796400016,WOS:000262796400016,2000-2018,12,12,36%,54%,36%,0%,0%,20%,89%
000262796400017,WOS:000262796400017,2000-2018,20,20,60%,54%,60%,0%,0%,13%,89%
000262796400018,WOS:000262796400018,2000-2018,11,11,33%,54%,33%,0%,0%,62%,97%
000262796400019,WOS:000262796400019,2000-2018,24,24,54%,54%,54%,0%,0%,14%,97%
000262796400020,WOS:000262796400020,2000-2018,52,52,174%,122%,174%,0%,0%,5%,95%
000262796400021,WOS:000262796400021,2000-2018,0,0,0%,67%,0%,0%,100%,100%,78%
000262796400022,WOS:000262796400022,2000-2018,2,2,5%,45%,5%,0%,0%,75%,81%
000262796400023,WOS:000262796400023,2000-2018,53,53,191%,191%,191%,20%,0%,7%,98%
000262796400024,WOS:000262796400024,2000-2018,62,62,159%,159%,159%,0%,0%,5%,96%
000262819800006,WOS:000262819800006,2000-2018,19,19,55%,90%,55%,0%,0%,21%,75%
000262824700005,WOS:000262824700005,2000-2018,39,39,115%,111%,115%,0%,0%,13%,97%
000262859000025,WOS:000262859000025,2000-2018,69,69,314%,314%,314%,100%,0%,27%,98%
000262909700008,WOS:000262909700008,2000-2018,21,21,69%,126%,69%,0%,0%,36%,100%
000263139100003,WOS:000263139100003,2000-2018,4,4,8%,8%,8%,0%,0%,0%,44%
000263162600004,WOS:000263162600004,2000-2018,96,96,207%,107%,207%,0%,0%,0%,88%
000263162600012,WOS:000263162600012,2000-2018,35,35,204%,701%,204%,0%,0%,29%,96%
000263189900012,WOS:000263189900012,2000-2018,54,54,125%,125%,125%,0%,0%,32%,79%
000263232800003,WOS:000263232800003,2000-2018,40,40,86%,60%,86%,0%,0%,44%,90%
000263232800008,WOS:000263232800008,2000-2018,13,13,27%,234%,27%,0%,0%,24%,95%
000263232800023,WOS:000263232800023,2000-2018,509,509,480%,99%,480%,100%,0%,4%,95%
000263295400043,WOS:000263295400043,2000-2018,194,194,679%,508%,679%,100%,0%,4%,77%
000263301200007,WOS:000263301200007,2000-2018,56,56,84%,125%,84%,0%,0%,14%,97%
000263335200004,WOS:000263335200004,2000-2018,33,33,71%,47%,71%,0%,0%,3%,92%
000263347600007,WOS:000263347600007,2000-2018,101,101,206%,262%,206%,0%,0%,3%,97%
000263405900019,WOS:000263405900019,2000-2018,6,6,26%,50%,26%,0%,0%,0%,86%
000263505000007,WOS:000263505000007,2000-2018,22,22,97%,97%,97%,0%,0%,8%,87%
000263558900027,WOS:000263558900027,2000-2018,115,115,173%,125%,173%,0%,0%,5%,90%
000263581900006,WOS:000263581900006,2000-2018,69,69,149%,99%,149%,0%,0%,3%,92%
000263706800001,WOS:000263706800001,2000-2018,12,12,49%,49%,49%,0%,0%,14%,84%
000263706800002,WOS:000263706800002,2000-2018,2,2,6%,6%,6%,0%,0%,91%,56%
000263706800003,WOS:000263706800003,2000-2018,10,10,42%,42%,42%,0%,0%,9%,78%
000263706800004,WOS:000263706800004,2000-2018,9,9,21%,21%,21%,0%,0%,10%,100%
000263706800005,WOS:000263706800005,2000-2018,13,13,67%,67%,67%,0%,0%,24%,76%
000263706800006,WOS:000263706800006,2000-2018,27,27,38%,82%,38%,0%,0%,21%,98%
000263706800007,WOS:000263706800007,2000-2018,26,26,39%,46%,39%,0%,0%,19%,95%
000263706800008,WOS:000263706800008,2000-2018,28,28,88%,132%,88%,0%,0%,0%,92%
000263738300003,WOS:000263738300003,2000-2018,11,11,38%,96%,38%,0%,0%,31%,87%
000263815300007,WOS:000263815300007,2000-2018,77,77,250%,156%,250%,100%,0%,4%,88%
000263833600010,WOS:000263833600010,2000-2018,4,4,14%,69%,14%,0%,0%,0%,93%
000263945100004,WOS:000263945100004,2000-2018,88,88,305%,615%,305%,100%,0%,11%,98%
000263945100005,WOS:000263945100005,2000-2018,23,23,114%,114%,114%,0%,0%,21%,89%
000264015900028,WOS:000264015900028,2000-2018,64,64,263%,238%,263%,40%,0%,3%,83%
000264023100014,WOS:000264023100014,2000-2018,32,32,112%,130%,112%,0%,0%,3%,91%
000264034100001,WOS:000264034100001,2000-2018,83,83,336%,336%,336%,100%,0%,12%,90%
000264040600001,WOS:000264040600001,2000-2018,54,54,116%,45%,116%,0%,0%,24%,95%
000264040600002,WOS:000264040600002,2000-2018,5,5,11%,45%,11%,0%,0%,0%,98%
000264040600003,WOS:000264040600003,2000-2018,131,131,290%,161%,290%,100%,0%,18%,90%
000264040600004,WOS:000264040600004,2000-2018,14,14,31%,161%,31%,0%,0%,7%,81%
000264040600005,WOS:000264040600005,2000-2018,30,30,61%,81%,61%,0%,0%,25%,94%
000264040600006,WOS:000264040600006,2000-2018,9,9,19%,45%,19%,0%,0%,10%,82%
000264044300007,WOS:000264044300007,2000-2018,123,123,356%,167%,356%,100%,0%,15%,83%
000264044300014,WOS:000264044300014,2000-2018,38,38,93%,93%,93%,0%,0%,25%,83%
000264065500021,WOS:000264065500021,2000-2018,68,68,276%,276%,276%,100%,0%,12%,92%
000264237300027,WOS:000264237300027,2000-2018,68,68,214%,101%,214%,0%,0%,1%,88%
000264359700010,WOS:000264359700010,2000-2018,96,96,435%,435%,435%,100%,0%,12%,85%
000264359700015,WOS:000264359700015,2000-2018,120,120,415%,130%,415%,100%,0%,18%,93%
000264378400033,WOS:000264378400033,2000-2018,39,39,123%,147%,123%,0%,0%,22%,93%
000264378500018,WOS:000264378500018,2000-2018,108,108,233%,137%,233%,100%,0%,5%,92%
000264387100007,WOS:000264387100007,2000-2018,39,39,261%,261%,261%,100%,0%,0%,91%
000264398000001,WOS:000264398000001,2000-2018,67,67,101%,90%,101%,0%,0%,6%,90%
000264398000002,WOS:000264398000002,2000-2018,37,37,117%,80%,117%,0%,0%,5%,86%
000264398000003,WOS:000264398000003,2000-2018,23,23,35%,90%,35%,0%,0%,12%,88%
000264398000005,WOS:000264398000005,2000-2018,56,56,121%,97%,121%,0%,0%,33%,90%
000264398000006,WOS:000264398000006,2000-2018,15,15,47%,80%,47%,0%,0%,6%,92%
000264398000007,WOS:000264398000007,2000-2018,29,29,64%,99%,64%,0%,0%,17%,92%
000264398000008,WOS:000264398000008,2000-2018,14,14,30%,97%,30%,0%,0%,26%,92%
000264398000009,WOS:000264398000009,2000-2018,95,95,143%,90%,143%,0%,0%,1%,81%
000264398000010,WOS:000264398000010,2000-2018,35,35,159%,116%,159%,0%,0%,5%,75%
000264398000011,WOS:000264398000011,2000-2018,181,181,570%,301%,570%,100%,0%,7%,81%
000264448300012,WOS:000264448300012,2000-2018,14,14,44%,94%,44%,0%,0%,13%,97%
000264563200006,WOS:000264563200006,2000-2018,26,26,82%,82%,82%,0%,0%,7%,87%
000264565800001,WOS:000264565800001,2000-2018,30,30,81%,81%,81%,0%,0%,3%,85%
000264565800002,WOS:000264565800002,2000-2018,103,103,155%,77%,155%,0%,0%,1%,88%
000264565800003,WOS:000264565800003,2000-2018,8,8,27%,27%,27%,0%,0%,20%,88%
000264565800004,WOS:000264565800004,2000-2018,43,43,161%,161%,161%,0%,0%,16%,94%
000264565800005,WOS:000264565800005,2000-2018,12,12,28%,34%,28%,0%,0%,25%,100%
000264565800006,WOS:000264565800006,2000-2018,43,43,240%,240%,240%,100%,0%,4%,96%
000264565800007,WOS:000264565800007,2000-2018,22,22,51%,34%,51%,0%,0%,44%,96%
000264565800008,WOS:000264565800008,2000-2018,7,7,20%,24%,20%,0%,0%,50%,100%
000264565800009,WOS:000264565800009,2000-2018,33,33,85%,45%,85%,0%,0%,6%,92%
000264565800010,WOS:000264565800010,2000-2018,8,8,44%,51%,44%,0%,0%,27%,97%
000264565800011,WOS:000264565800011,2000-2018,61,61,282%,282%,282%,100%,0%,14%,86%
000264565800012,WOS:000264565800012,2000-2018,20,20,72%,68%,72%,0%,0%,5%,100%
000264565800013,WOS:000264565800013,2000-2018,5,5,18%,68%,18%,0%,0%,50%,88%
000264565800014,WOS:000264565800014,2000-2018,26,26,94%,68%,94%,0%,0%,26%,92%
000264565800015,WOS:000264565800015,2000-2018,7,7,25%,68%,25%,0%,0%,13%,96%
000264565800017,WOS:000264565800017,2000-2018,3,3,9%,54%,9%,0%,0%,73%,92%
000264565800018,WOS:000264565800018,2000-2018,6,6,26%,26%,26%,0%,0%,50%,90%
000264565800019,WOS:000264565800019,2000-2018,50,50,160%,160%,160%,0%,0%,30%,96%
000264565800020,WOS:000264565800020,2000-2018,14,14,62%,55%,62%,0%,0%,7%,100%
000264565800021,WOS:000264565800021,2000-2018,15,15,43%,24%,43%,0%,0%,0%,94%
000264565800022,WOS:000264565800022,2000-2018,22,22,33%,77%,33%,0%,0%,39%,95%
000264565800023,WOS:000264565800023,2000-2018,19,19,69%,68%,69%,0%,0%,17%,96%
000264565800024,WOS:000264565800024,2000-2018,28,28,130%,130%,130%,0%,0%,24%,89%
000264565800026,WOS:000264565800026,2000-2018,11,11,33%,54%,33%,0%,0%,0%,98%
000264613200003,WOS:000264613200003,2000-2018,44,44,129%,112%,129%,0%,0%,6%,94%
000264647700007,WOS:000264647700007,2000-2018,55,55,157%,153%,157%,0%,0%,5%,88%
000264696300019,WOS:000264696300019,2000-2018,35,35,33%,99%,33%,0%,0%,8%,89%
000264696300025,WOS:000264696300025,2000-2018,6,6,13%,60%,13%,0%,0%,25%,90%
000264790600015,WOS:000264790600015,2000-2018,24,24,36%,99%,36%,0%,0%,4%,100%
000264854900013,WOS:000264854900013,2000-2018,94,94,296%,91%,296%,100%,0%,6%,89%
000264889000006,WOS:000264889000006,2000-2018,91,91,189%,274%,189%,0%,0%,8%,87%
000264949500005,WOS:000264949500005,2000-2018,19,19,127%,127%,127%,0%,0%,0%,33%
000264967500099,WOS:000264967500099,2000-2018,67,67,221%,234%,221%,100%,0%,9%,86%
000265059600001,WOS:000265059600001,2000-2018,36,36,146%,146%,146%,0%,0%,14%,86%
000265077200023,WOS:000265077200023,2000-2018,25,25,51%,49%,51%,0%,0%,4%,69%
000265095500017,WOS:000265095500017,2000-2018,157,157,236%,119%,236%,85%,0%,10%,95%
000265186500020,WOS:000265186500020,2000-2018,11,11,35%,43%,35%,0%,0%,27%,100%
000265275500002,WOS:000265275500002,2000-2018,30,30,122%,61%,122%,0%,0%,19%,74%
000265413100012,WOS:000265413100012,2000-2018,95,95,385%,235%,385%,100%,0%,7%,90%
000265484000001,WOS:000265484000001,2000-2018,25,25,38%,83%,38%,0%,0%,4%,87%
000265487500019,WOS:000265487500019,2000-2018,93,93,422%,236%,422%,100%,0%,4%,92%
000265496500004,WOS:000265496500004,2000-2018,22,22,21%,85%,21%,0%,0%,0%,92%
000265723800034,WOS:000265723800034,2000-2018,12,12,121%,121%,121%,0%,0%,37%,91%
000265727600002,WOS:000265727600002,2000-2018,3,3,5%,62%,5%,0%,0%,25%,79%
000265827700005,WOS:000265827700005,2000-2018,484,484,987%,185%,987%,100%,0%,7%,79%
000265895400001,WOS:000265895400001,2000-2018,92,92,417%,201%,417%,100%,0%,5%,96%
000265895400002,WOS:000265895400002,2000-2018,46,46,94%,81%,94%,0%,0%,6%,90%
000265895400003,WOS:000265895400003,2000-2018,22,22,47%,45%,47%,0%,0%,8%,89%
000265895400004,WOS:000265895400004,2000-2018,43,43,88%,81%,88%,0%,0%,0%,82%
000265895400005,WOS:000265895400005,2000-2018,56,56,177%,132%,177%,0%,0%,3%,90%
000265895400006,WOS:000265895400006,2000-2018,12,12,59%,59%,59%,0%,0%,0%,66%
000265953900006,WOS:000265953900006,2000-2018,86,86,117%,134%,117%,0%,0%,13%,95%
000265972100001,WOS:000265972100001,2000-2018,47,47,166%,106%,166%,0%,0%,4%,90%
000266027300003,WOS:000266027300003,2000-2018,54,54,190%,148%,190%,0%,0%,34%,87%
000266031300006,WOS:000266031300006,2000-2018,705,705,664%,159%,664%,100%,0%,0%,64%
000266031300009,WOS:000266031300009,2000-2018,66,66,62%,159%,62%,0%,0%,7%,87%
000266031300010,WOS:000266031300010,2000-2018,8,8,8%,159%,8%,0%,0%,0%,67%
000266065700017,WOS:000266065700017,2000-2018,56,56,121%,92%,121%,0%,0%,2%,95%
000266177600006,WOS:000266177600006,2000-2018,69,69,305%,141%,305%,100%,0%,4%,83%
000266208900062,WOS:000266208900062,2000-2018,154,154,314%,230%,314%,100%,0%,13%,88%
000266227400009,WOS:000266227400009,2000-2018,27,27,93%,96%,93%,0%,0%,13%,59%
000266231800019,WOS:000266231800019,2000-2018,22,22,47%,47%,47%,0%,0%,0%,67%
000266282800011,WOS:000266282800011,2000-2018,5,5,22%,371%,22%,0%,0%,17%,94%
000266307600003,WOS:000266307600003,2000-2018,157,157,338%,282%,338%,100%,0%,11%,76%
000266360400010,WOS:000266360400010,2000-2018,81,81,174%,55%,174%,0%,0%,5%,93%
000266360400011,WOS:000266360400011,2000-2018,26,26,56%,56%,56%,0%,0%,42%,100%
000266458900001,WOS:000266458900001,2000-2018,47,47,161%,161%,161%,0%,0%,11%,93%
000266458900002,WOS:000266458900002,2000-2018,16,16,71%,55%,71%,0%,0%,16%,97%
000266458900003,WOS:000266458900003,2000-2018,9,9,21%,34%,21%,0%,0%,53%,93%
000266458900004,WOS:000266458900004,2000-2018,21,21,49%,34%,49%,0%,0%,49%,87%
000266458900005,WOS:000266458900005,2000-2018,8,8,19%,34%,19%,0%,0%,0%,90%
000266458900006,WOS:000266458900006,2000-2018,9,9,20%,19%,20%,0%,0%,25%,97%
000266458900007,WOS:000266458900007,2000-2018,17,17,40%,34%,40%,0%,0%,0%,100%
000266458900008,WOS:000266458900008,2000-2018,7,7,25%,68%,25%,0%,0%,53%,89%
000266458900009,WOS:000266458900009,2000-2018,30,30,41%,92%,41%,0%,0%,35%,92%
000266458900010,WOS:000266458900010,2000-2018,47,47,142%,54%,142%,0%,0%,13%,92%
000266458900011,WOS:000266458900011,2000-2018,96,96,347%,68%,347%,100%,0%,16%,96%
000266458900012,WOS:000266458900012,2000-2018,11,11,33%,54%,33%,0%,0%,0%,97%
000266458900013,WOS:000266458900013,2000-2018,16,16,58%,68%,58%,0%,0%,16%,88%
000266458900014,WOS:000266458900014,2000-2018,13,13,46%,46%,46%,0%,0%,38%,93%
000266458900015,WOS:000266458900015,2000-2018,1,1,5%,51%,5%,0%,0%,0%,86%
000266458900016,WOS:000266458900016,2000-2018,3,3,15%,15%,15%,0%,0%,40%,92%
000266458900017,WOS:000266458900017,2000-2018,17,17,40%,34%,40%,0%,0%,19%,86%
000266458900018,WOS:000266458900018,2000-2018,9,9,26%,24%,26%,0%,0%,53%,90%
000266458900019,WOS:000266458900019,2000-2018,12,12,31%,45%,31%,0%,0%,25%,92%
000266458900020,WOS:000266458900020,2000-2018,2,2,6%,24%,6%,0%,0%,50%,95%
000266458900021,WOS:000266458900021,2000-2018,9,9,26%,24%,26%,0%,0%,10%,93%
000266458900022,WOS:000266458900022,2000-2018,4,4,11%,40%,11%,0%,0%,0%,94%
000266458900023,WOS:000266458900023,2000-2018,3,3,13%,66%,13%,0%,0%,0%,97%
000266458900024,WOS:000266458900024,2000-2018,5,5,14%,24%,14%,0%,0%,17%,79%
000266458900025,WOS:000266458900025,2000-2018,8,8,55%,55%,55%,0%,0%,50%,98%
000266458900026,WOS:000266458900026,2000-2018,8,8,21%,45%,21%,0%,0%,0%,88%
000266499600001,WOS:000266499600001,2000-2018,14,14,44%,80%,44%,0%,0%,0%,94%
000266499600002,WOS:000266499600002,2000-2018,52,52,112%,97%,112%,0%,0%,15%,87%
000266499600003,WOS:000266499600003,2000-2018,47,47,101%,97%,101%,0%,0%,10%,85%
000266499600004,WOS:000266499600004,2000-2018,74,74,300%,149%,300%,100%,0%,11%,87%
000266499600005,WOS:000266499600005,2000-2018,233,233,694%,694%,694%,100%,0%,8%,83%
000266499600006,WOS:000266499600006,2000-2018,151,151,227%,90%,227%,0%,0%,11%,93%
000266499600007,WOS:000266499600007,2000-2018,82,82,241%,241%,241%,100%,0%,25%,83%
000266499600008,WOS:000266499600008,2000-2018,16,16,65%,149%,65%,0%,0%,27%,93%
000266499600009,WOS:000266499600009,2000-2018,57,57,197%,197%,197%,0%,0%,2%,92%
000266499600010,WOS:000266499600010,2000-2018,78,78,596%,596%,596%,100%,0%,8%,62%
000266499600011,WOS:000266499600011,2000-2018,128,128,121%,246%,121%,0%,0%,1%,80%
000266580500061,WOS:000266580500061,2000-2018,109,109,442%,385%,442%,100%,0%,4%,84%
000266580700015,WOS:000266580700015,2000-2018,17,17,77%,154%,77%,0%,0%,29%,72%
000266580800002,WOS:000266580800002,2000-2018,14,14,41%,73%,41%,0%,0%,44%,96%
000266580800003,WOS:000266580800003,2000-2018,20,20,59%,73%,59%,0%,0%,5%,97%
000266580800004,WOS:000266580800004,2000-2018,107,107,445%,227%,445%,100%,0%,9%,89%
000266597000014,WOS:000266597000014,2000-2018,291,291,438%,105%,438%,100%,0%,8%,93%
000266619800011,WOS:000266619800011,2000-2018,165,165,405%,216%,405%,100%,0%,10%,86%
000266701600005,WOS:000266701600005,2000-2018,45,45,100%,133%,100%,0%,0%,8%,86%
000266817500013,WOS:000266817500013,2000-2018,124,124,411%,288%,411%,100%,0%,7%,96%
000266927400006,WOS:000266927400006,2000-2018,42,42,132%,69%,132%,0%,0%,7%,95%
000266927400008,WOS:000266927400008,2000-2018,44,44,237%,69%,237%,80%,0%,2%,94%
000266927400013,WOS:000266927400013,2000-2018,11,11,25%,25%,25%,0%,0%,31%,85%
000266975300039,WOS:000266975300039,2000-2018,45,45,238%,238%,238%,0%,0%,10%,88%
000266975300046,WOS:000266975300046,2000-2018,62,62,215%,100%,215%,100%,0%,5%,87%
000266975600014,WOS:000266975600014,2000-2018,535,535,805%,131%,805%,100%,0%,17%,86%
000266975600031,WOS:000266975600031,2000-2018,68,68,200%,96%,200%,0%,0%,8%,85%
000267019400013,WOS:000267019400013,2000-2018,88,88,190%,190%,190%,0%,0%,17%,89%
000267019500009,WOS:000267019500009,2000-2018,42,42,147%,130%,147%,0%,0%,7%,92%
000267098500001,WOS:000267098500001,2000-2018,17,17,35%,107%,35%,0%,0%,26%,85%
000267140600009,WOS:000267140600009,2000-2018,10,10,29%,14%,29%,0%,0%,17%,100%
000267189200002,WOS:000267189200002,2000-2018,14,14,44%,101%,44%,0%,0%,13%,92%
000267189200006,WOS:000267189200006,2000-2018,94,94,203%,203%,203%,0%,0%,14%,95%
000267189200007,WOS:000267189200007,2000-2018,28,28,57%,68%,57%,0%,0%,0%,88%
000267296100013,WOS:000267296100013,2000-2018,32,32,69%,95%,69%,0%,0%,29%,87%
000267324500006,WOS:000267324500006,2000-2018,59,59,127%,645%,127%,0%,0%,6%,92%
000267338500026,WOS:000267338500026,2000-2018,118,118,254%,272%,254%,100%,0%,10%,93%
000267356500003,WOS:000267356500003,2000-2018,89,89,393%,139%,393%,100%,0%,14%,89%
000267371900001,WOS:000267371900001,2000-2018,90,90,126%,82%,126%,0%,0%,3%,92%
000267371900002,WOS:000267371900002,2000-2018,25,25,54%,45%,54%,0%,0%,17%,90%
000267371900003,WOS:000267371900003,2000-2018,7,7,15%,45%,15%,0%,0%,50%,83%
000267371900004,WOS:000267371900004,2000-2018,20,20,63%,58%,63%,0%,0%,9%,92%
000267371900005,WOS:000267371900005,2000-2018,17,17,54%,58%,54%,0%,0%,26%,82%
000267371900006,WOS:000267371900006,2000-2018,45,45,68%,46%,68%,0%,0%,12%,89%
000267371900007,WOS:000267371900007,2000-2018,112,112,536%,536%,536%,100%,0%,2%,97%
000267437600014,WOS:000267437600014,2000-2018,37,37,122%,163%,122%,0%,0%,10%,97%
000267440700030,WOS:000267440700030,2000-2018,48,48,106%,208%,106%,0%,0%,4%,84%
000267456200003,WOS:000267456200003,2000-2018,26,26,77%,43%,77%,0%,0%,13%,84%
000267564300081,WOS:000267564300081,2000-2018,106,106,100%,374%,100%,0%,0%,6%,92%
000267691900014,WOS:000267691900014,2000-2018,33,33,164%,164%,164%,0%,0%,0%,89%
